"url","transcript"
"https://www.tiktok.com/@snowfauu/video/7542504654924516630","Hey. Standing on me this standing on me to shit."
"https://www.tiktok.com/@ayliin.erl/video/7542227114519579926","Foreign."
"https://www.tiktok.com/@heavenly_goals/video/7542189497593711894","If you deny Jesus here, he will deny you before the Father. But if you stand for him, he will stand for you. Which side are you on? Don't scroll past this moment. This is your chance to boldly declare his name before the world. You say you love him, but will you type Jesus, I love you. You watch videos of everything else but skip the ones about him. The Bible says whoever is ashamed of me, I will be ashamed of him. Don't let silence speak louder than your fuck. Share this message right now because someone in your circle desperately needs Jesus. He says, come to me all you who are weary and burdened, and I will give you rest. Your act of faith could be the very seed that saves a soul today. Type I believe in Jesus and share this boldly as you do. I decree healing over your body, restoration over your family, and breakthrough over your life. Your miracle is near. Stand for Jesus and He will stand for you. Amen."
"https://www.tiktok.com/@zahidghouri99/video/7542478282428550418","But to bend the money."
"https://www.tiktok.com/@kionthegreat1_/video/7541464797821275414",""
"https://www.tiktok.com/@52timizhuo/video/7543294857821818130","He?"
"https://www.tiktok.com/@dlilmur/video/7542105490361273616",""
"https://www.tiktok.com/@arxntxxa/video/7541525083731414277",""
"https://www.tiktok.com/@johaanssson/video/7543332641492290838",""
"https://www.tiktok.com/@52timizhuo/video/7542130595246263570",""
"https://www.tiktok.com/@nikly__official/video/7543193049011113238","Come with a hat full of trucks, trunk full of Fango, car full of foxes. Fuck you."
"https://www.tiktok.com/@c05a10/video/7542984362313239816",""
"https://www.tiktok.com/@mochakhanpere.5/video/7540974840686054687","Aram samsam Aram samsam sam guliguli goli goligoolig."
"https://www.tiktok.com/@anahitorres23/video/7541584748167122184","The Lomana packing man. Quadri, you and share the letti dando con."
"https://www.tiktok.com/@kimberlyy.hb/video/7540726663059967255",""
"https://www.tiktok.com/@sania.khan8955/video/7542569042393992456","ERROR: undefined"
"https://www.tiktok.com/@majara.2/video/7541760822805105942","But I'm a one that you scream in my name and say Daddy, I'm coming, I'm coming too Upper mind in your stomach so baby, let's go I want to feel right now."
"https://www.tiktok.com/@allissonmia_coronadoo/video/7537464724728843538","Ninja matando lem."
"https://www.tiktok.com/@antxana/video/7184550104316218670","First time moms be like,"
"https://www.tiktok.com/@yzfqcc/video/7541554795501358344","Boink."
"https://www.tiktok.com/@user7326059388747/video/7538345119066426646","Where's my primer? Beta, beta. These meds in my face got me flying Taking all these meds in my face got me dying Eyes red high Eyes red high and crying with Oxy Andy oh, yeah, I'm pricey juice like Tupac Shakur. No, Icy. Dude, we are so icy. Are the cake pops different flavors, or are they just different colors? Different flavors. What are the flavor differences? Timing, timing, timing all about timing, timing, timing Sit back in my chair and relax on reclining there's not a care in the world Now I'm lying. Honestly, it is a miracle that we made it on time. Dude, we are killing it. Per ush. Yes. Also, is it just me, or does coffee immediately make you have to shit? Oh, immediately. Yeah. Like, I smell coffee and I'm shitting my pants. Pause the shit talk until Justin Dragones passes. Oh, my God, I want him. We need to come up with a code for shitting. You're right. All right, let's think. Okay. We can say like, I need to talk to my boss. You can get one sitting down. It's like, okay, I need to have a long call my boss, and he's mad. Oh, my God. My boss is so mad at me that I had a PSL this morning. Oh. And then when you. It could be like, you're texting your boss. Texting your boss. I love it. You have to keep it fancy. We love to keep it fancy. That's what we do."
"https://www.tiktok.com/@nightmoonxyz/video/7392044623545388295",""
"https://www.tiktok.com/@juanbunetta/video/7497256306164665605","Topic. They say. They say that."
"https://www.tiktok.com/@notchicolachowski1/video/7519458673194749206",""
"https://www.tiktok.com/@anahitorres23/video/7460288639273012486","Hi. Abra chakati. Single. Mirama."
"https://www.tiktok.com/@ddreamcouples_/video/7232796531848383770","Sa. What is wrong? What's wrong? You're not leaving until you tell me what's wrong."
"https://www.tiktok.com/@lilihfvxdij/video/7263999169130417450","Hey, hey, it's okay Everybody feels kind of weird some days hey, hey, it's okay Everybody feels kind of weird some days hey, hey."
"https://www.tiktok.com/@mbbsdoctor56/video/7481733572672490774",""
"https://www.tiktok.com/@fucuc47/video/7511301177749933342","So I came home and caught my dog in the act with my cat. But you can't believe what happened next. Guys, I can't figure out what's going on here. I never thought this would happen between a dog and a cat. After that incident my cat got pregnant and her belly grew bigger and bigger every day. She also started vomiting frequently, would just lie still and would try to bite me every time someone came near her. I was really scared of losing her. I've been with her for three years and she's been sleeping next to me. I love her very much and don't want anything bad to happen to her. Because I was so worried I took her to the vet in my town. Vet said they'd never seen anything like it before. Then my cat gave birth at the vet's office and I was completely amazed by the pups. You won't believe what happened. Follow me and comment Cat if you want me to post the video."
"https://www.tiktok.com/@funny_box75/video/7538802646979710226",""
"https://www.tiktok.com/@themalachibarton/video/7370520570070338859","Why is he around? Certified lover boys Certified pedophiles that fuck him up I'mma do my stuff why you trolling like a. Ain't you tired? Trying to strike a chord and it's probably a minor."
"https://www.tiktok.com/@gnb.official/video/6937746497207356677","Mommy post shit. Ready to get it started?"
"https://www.tiktok.com/@lizzo/video/6863571836983184645","It's it."
"https://www.tiktok.com/@rulabulatula/video/7430511160807410986","Stop worrying about that boy and go do your damn assignments. Damn. What the hell is your issue? You skipping class, crying and shit. But you got assignments due. You got assignments due, but you crying. You crying over what? You ain't even crying over the assignments. You crying over a boy and that bitch ass mother."
